English,Karaoké,Thaï
Hospital ,rxng-phayabàan,โรงพยาบาล
Nurse ,phayabàan,พยาบาล
School ,rxng-rîan,โรงเรียน
Student ,nak-rîan,นักเรียน
Engineer ,wit-sxw-khxn,วิศวกร
Architect ,sathap-nik,สถาปนิก
Accountant ,nak-banchii,นักบัญชี
Businessman ,nak-thuri-kit,นักธุรกิจ
Pilot ,nak-bin,นักบิน
Musician ,nak-dondtri,นักดนตรี
Computer ,kxm-phiu-dtêu,คอมพิวเตอร์
Internet ,in-dtêu-net,อินเตอร์เน็ต
Bicycle ,jak-ka-yan,จักรยาน
Bus ,rót-doiy-săan,รถโดยสาร
while,nai kà-nà-tîi,ในขณะที่
neither,mâi + verb + rǔe,ไม่  หรือ
